Node,Domain,Type,Category,CPU,RAM,Disk,GPU,FPGA,USRP,WiFi,Devices
"node19-6","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node19-7","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node19-8","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node19-9","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-1","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node2-12","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-13","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-14","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-15","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-16","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros QCA986x/988x 802.11ac Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-17","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz","15.5 GB","111GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-19","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node2-2","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","-"
"node2-20","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express), 802.11 n WLAN","-"
"node2-3","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Atheros AR9462 Wireless Network Adapter,  ","-"
"node2-4","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","-"
"node2-6","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Corporation Centrino Advanced-N + WiMAX 6250 [Kilmer Peak]","WiMAX"
"node2-7","grid","Node","Compute Only (Gen4)","Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz","15.5 GB","111GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","-"
"node2-8","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","55GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Inc. and subsidiaries BCM4352 802.11ac Dual Band Wireless Network Adapter","-"
"node20-1","grid","Node","SDR Node (Gen3)","Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz","15.5 GB","55GB SSD","none","none","usrp2","Atheros AR928X Wireless Network Adapter (PCI-Express)","Mote"
"node20-11","grid","Node","Compute Only","Intel(R) Core(TM) i7 CPU K 875 @ 2.93GHz","7.8 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","LTE"
"node20-12","grid","Node","Compute Only (Gen2)","Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz","7.6 GB","55GB SSD","none","none","-","Atheros AR928X Wireless Network Adapter (PCI-Express)","Mote"
"node20-14","grid","Node","Compute Only","Intel(R) Core(TM) i5-4440 CPU @ 3.10GHz","7.6 GB","111GB SSD","none","none","-","Atheros AR958x 802.11abgn Wireless Network Adapter, Corporation Wireless 7260","-"
